["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9536475179666666e+14 1.8890126729040931e-03 1.3488517146033599e+01
1.9548966532083331e+14 1.7435010515230648e-03 1.3714674852780981e+01
1.9561457884500000e+14 1.5883604572412510e-03 1.3936484798650625e+01
1.9573949236916666e+14 1.4242984668370422e-03 1.4152305495354600e+01
1.9586440589333331e+14 1.2523350752656592e-03 1.4359484759501665e+01
1.9598931941750000e+14 1.0739583591622948e-03 1.4553461641925869e+01
1.9611423294166666e+14 8.9148931837805729e-04 1.4725778539023532e+01
1.9623914646583331e+14 7.0904310460820775e-04 1.4859247692266585e+01
1.9636405999000000e+14 5.3534244669424459e-04 1.4915771791089433e+01
1.9648897351416666e+14 3.9271104393914178e-04 1.4811679049380315e+01
1.9661388703833331e+14 3.3458262491683956e-04 1.4469808529367075e+01
1.9673880056250000e+14 4.0526844973842187e-04 1.4140528570518555e+01
1.9686371408666666e+14 5.5998748594334488e-04 1.4050857714937854e+01
1.9698862761083331e+14 7.4854573616364175e-04 1.4115266403647002e+01
1.9711354113500000e+14 9.5005505071236432e-04 1.4253568333587033e+01
1.9723845465916666e+14 1.1560371721291522e-03 1.4429601266609566e+01
1.9736336818333331e+14 1.3622325424149351e-03 1.4626999967200547e+01
1.9748828170750000e+14 1.5660361047671659e-03 1.4837621604855986e+01
1.9761319523166666e+14 1.7655230822964318e-03 1.5057079434222123e+01
1.9773810875583331e+14 1.9592158887600016e-03 1.5282797885584621e+01
1.9786302228000000e+14 2.1459151552307505e-03 1.5513176100667502e+01
1.9798793580416666e+14 2.3246384749741529e-03 1.5747167400695570e+01
1.9811284932833331e+14 2.4945878238764748e-03 1.5984058239296619e+01
1.9823776285250000e+14 2.6551258135846831e-03 1.6223345167535626e+01
1.9836267637666666e+14 2.8057520269360952e-03 1.6464662762323140e+01
1.9848758990083331e+14 2.9460760800168215e-03 1.6707739269980767e+01
1.9861250342500000e+14 3.0757870569947748e-03 1.6952367871494801e+01
1.9873741694916666e+14 3.1945857744866148e-03 1.7198372889815118e+01
1.9886233047333331e+14 3.3022444425370510e-03 1.7445642569405074e+01
1.9898724399750000e+14 3.3985010688486346e-03 1.7694067672956848e+01
1.9911215752166666e+14 3.4830560931579627e-03 1.7943551319009686e+01
1.9923707104583331e+14 3.5555572038627648e-03 1.8194003011755498e+01
1.9936198457000000e+14 3.6155940998626713e-03 1.8445334608216442e+01
1.9948689809416666e+14 3.6627038043157583e-03 1.8697458234842216e+01
1.9961181161833331e+14 3.6963859713071878e-03 1.8950286220777084e+01
1.9973672514250000e+14 3.7161264558459458e-03 1.9203733092742244e+01
1.9986163866666666e+14 3.7214264155615005e-03 1.9457719599836373e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(101, 3)
1.8737028625000000e+14 9.9593138648594726e-01 2.0291281312022258e-01
1.8749519977416666e+14 9.9597080238702596e-01 3.2946842958969369e-01
1.8762011329833334e+14 9.9600925358283421e-01 4.5602862837258745e-01
1.8774502682250000e+14 9.9604680912569832e-01 5.8259331390857372e-01
1.8786994034666666e+14 9.9608355557416983e-01 7.0916241014400394e-01
1.8799485387083334e+14 9.9611959158262198e-01 8.3573586330209437e-01
1.8811976739500000e+14 9.9615502218228791e-01 9.6231364311876944e-01
1.8824468091916666e+14 9.9618995318344572e-01 1.0888957425713603e+00
1.8836959444333334e+14 9.9622448609206282e-01 1.2154821762461523e+00
1.8849450796750000e+14 9.9625871386457299e-01 1.3420729775931988e+00
1.8861942149166666e+14 9.9629271772934624e-01 1.4686681953933678e+00
1.8874433501583334e+14 9.9632653598378484e-01 1.5952656494925410e+00
1.8886924854000000e+14 9.9636025111689952e-01 1.7218676432544271e+00
1.8899416206416666e+14 9.9639390179194831e-01 1.8484742478704452e+00
1.8911907558833334e+14 9.9642751355653758e-01 1.9750855349851406e+00
1.8924398911250000e+14 9.9646110061665616e-01 2.1017015742778518e+00
1.8936890263666666e+14 9.9649466792844443e-01 2.2283224318914945e+00
1.8949381616083334e+14 9.9652821330699037e-01 2.3549481696957608e+00
1.8961872968500000e+14 9.9656172928314590e-01 2.4815788452786740e+00
1.8974364320916666e+14 9.9659520449934702e-01 2.6082145124812453e+00
1.8986855673333334e+14 9.9662862451635426e-01 2.7348552222361624e+00
1.8999347025750000e+14 9.9666194502631766e-01 2.8614987994794072e+00
1.9011838378166666e+14 9.9669517242636418e-01 2.9881475113836604e+00
1.9024329730583334e+14 9.9672828203037822e-01 3.1148014043713275e+00
1.9036821083000000e+14 9.9676124405566302e-01 3.2414605234483247e+00
1.9049312435416666e+14 9.9679402262887096e-01 3.3681249112574312e+00
1.9061803787833334e+14 9.9682657508170447e-01 3.4947946065287319e+00
1.9074295140250000e+14 9.9685885177295119e-01 3.6214696420485186e+00
1.9086786492666666e+14 9.9689079662214664e-01 3.7481500423476102e+00
1.9099277845083334e+14 9.9692234846441496e-01 3.8748358213668284e+00
1.9111769197500000e+14 9.9695344324429735e-01 4.0015269803915592e+00
1.9124260549916666e+14 9.9698399238037116e-01 4.1282212999916634e+00
1.9136751902333334e+14 9.9701396045805335e-01 4.2549209549670355e+00
1.9149243254750000e+14 9.9704329456258556e-01 4.3816259031273743e+00
1.9161734607166666e+14 9.9707195309491237e-01 4.5083360891706565e+00
1.9174225959583334e+14 9.9709990931942771e-01 4.6350514472281317e+00
